name,short_description,description,main_photo_filepath,gallery_photo_filepaths,variants,url
Nittaku Acoustic Carbon LG Handle,<p><strong>Das</strong> <em><strong>ACOUSTIC CARBON LG HANDle ist das original Nittaku Acoustic Carbon Holz nur mit etwas breiteren und dickeren Griffen</strong></em>.</p>,"<div class=""rte text--pull""> <p><strong>Das</strong> <em><strong>ACOUSTIC CARBON LG HANDle ist das original Nittaku Acoustic Carbon Holz nur mit etwas breiteren und dickeren Griffen</strong></em>.</p> <p>Diese Griffe wurden für Spieler entwickelt denen der originale Griff der Acoustic Serie zu schmal ist.</p> <p>Der LG Griff ist ca. 1 mm breiter und 1 mm kräftiger als der originale Griff.  Hat also eine Breite von 33,0 mm und eine dicke von 23,5 mm</p> <p><span style=""line-height: 16.79px;"">Dank der beiden Carbonschichten ist es ein gutes Stück schneller und härter, als das <a href=""http://nittaku.tt/collections/hoelzer-blades/products/acoustic-off"" title=""Nittaku Acoustic Holz""><em><strong>ACOUSTIC</strong></em></a>. Dennoch besitzt es das für die <a href=""http://nittaku.tt/collections/hoelzer-blades/acoustic-serie"" title=""Nittaku Acoustic Serie""><em>ACOUSTIC-SERIE</em></a> typische Anschlaggefühl und hohe Kontrollwerte.</span></p> <p> </p> <p> </p> <p><strong>MADE IN JAPAN</strong></p> <p><span style=""color: #666666;""><strong>Furnierschichten: 5 + 2 Schichten Carboneinlage</strong></span><br/><span style=""color: #666666;""><strong>Holzdicke: 5,5 mm</strong></span><br/><span style=""color: #666666;""><strong>Gewicht: ca. 90g</strong></span><br/><span style=""color: #666666;""><strong>Maße: 157 X 150 mm</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon LG Handle\MainImage\acoustic_carbon_fl_nittaku_235b40a1-ef88-4ef8-a2be-171a78398129_1600x.jpg%3Fv=1689166384,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon LG Handle\GalleryImages\acoustic_carbon_st_nittaku_fa5b0e68-f8d4-46a5-a92a-d1bf0abf70ea_1600x.jpg%3Fv=1689166385;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon LG Handle\GalleryImages\acoustic_carbon_st2_nittaku_b9fc6c86-f8e4-4e0a-bcdf-fbb5c57560f7_1600x.jpg%3Fv=1689166385;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon LG Handle\GalleryImages\acoustic_carbon_fl2_nittaku_72187e0e-2466-4e82-8735-243d9b33a49d_1600x.jpg%3Fv=1689166384,"{""key_value_pairs"": [[""Griff"", ""gerade LG Handle""], [""Griff"", ""konkav LG Handle""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/kopie-von-acoustic-carbon-lg-handle
Nittaku SO-TEN,<p>Das Tischtennis Holz Nittaku SO-TEN aus der Nittaku Irodorie Serie.</p>,"<div class=""rte text--pull""> <p>Das Tischtennis Holz Nittaku SO-TEN aus der Nittaku Irodorie Serie.</p> <p>In der Irodori Serie wird die neue Faser KVC3 verarbeitet. Diese Faser ist eine echte Weiterentwicklung im Tischtennis Sport, wenn man den Ball weich spielt, unterstütz die Faser das weiche Spiel. Spielt man den Ball allerdings mit Druck, gibt das KVC3 den Druck an den Ball weiter und man kann Bälle mit viel Geschwindigkeit spielen.</p> <p>Das Nittaku SO-TEN hat die KVC3 Faser innen, also auf dem Kern liefen. Das Limba Deckfurnier vermittelt einen weicheren Anschlag.  und eine gute offensive Geschwindigkeit. Durch den weicheren Anschlag und die innen liegende KVC3 Faser ergibt sich eine mitlere Ballflugkurve. Die Kontrolle ist hoch und der Balltreffpunkt wird sehr gut weiter gegeben.</p> <p><a href=""https://nittaku.tt/collections/offensive-holzer/products/nittaku-gyo-en"">Die outer Version GYO-EN finden Sie hier</a></p> <p><strong><em>Made in Japan</em></strong></p> <p><strong><em>Blattdicke: 5,7 mm</em></strong></p> <p><strong><em>Gewicht: ca. 88g</em></strong></p> <p><strong><em>Blattgröße: 158X152 mm</em></strong></p> <p> </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku SO-TEN\MainImage\TischtennisSchlaegerSo-tenkonkaverGriff_1600x.png%3Fv=1690791613,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku SO-TEN\GalleryImages\TischtennisSchlaegerSo-tenkonkaverGriffIrodori_1600x.png%3Fv=1690791613;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku SO-TEN\GalleryImages\TischtennisSchlaegerSo-tengeraderGriff_1600x.png%3Fv=1690791613;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku SO-TEN\GalleryImages\NittakuTischtennisSchlaegerSo-tenSchnitt_1600x.png%3Fv=1690791613,"{""key_value_pairs"": [[""Grifform//Handle"", ""konkav//flared""], [""Grifform//Handle"", ""gerade//straight""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/kopie-von-nittaku-gyo-en
Nittaku Mima Ito Carbon,<h2> <strong>Nittaku</strong> hat diese Holz zum 20. Geburtstag von <strong>Mima Ito</strong> rausgebracht.</h2>,"<div class=""rte text--pull""> <h2> <strong>Nittaku</strong> hat diese Holz zum 20. Geburtstag von <strong>Mima Ito</strong> rausgebracht.</h2> <p>Der Furnieraufbau ist gleich dem <a href=""https://nittaku.tt/collections/tischtennis-hoelzer-schlaeger/products/neu-acoustic-carbon"" title=""Nittaku Acoustic Carbon"">Nittaku Acoustic Carbon Holz</a>, mit dem die <strong>Weltranglisten 2</strong>. seit Jahren spielt. Der Griff wurde nach den Wünschen von <strong>Mima Ito</strong> etwas angepasst um ein schnelleres Umgreifen zwischen Vor und Rückhand einfacher zu machen.</p> <p>Das Tischtennis Holz hat ein g<strong>oldenes Autogramm</strong> von <strong>Mima Ito</strong> auf der Vorhand</p> <p>Made in Japan</p> <p><strong>Furnierschichten: 5 + 2 Schichten Carboneinlage</strong></p> <p><span><strong>Holzdicke: 5,5 mm</strong></span><br/><span><strong>Gewicht: ca. 90g</strong></span><br/><span><strong>Maße: 157 X 150 mm</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Mima Ito Carbon\MainImage\MimaItoCarbon_1600x.png%3Fv=1679315491,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Mima Ito Carbon\GalleryImages\MimaItoCarbonSchnitt_1600x.png%3Fv=1679315490,"{""key_value_pairs"": [[""Griff"", ""gerade//straight""], [""Griff"", ""konkav/flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/mima-ito-carbon
Miyabi OFF,<p>Das Offensiv-Holz <em><strong>MIYABI</strong> </em>besteht aus einer einzigen Schicht <em>Kiso Hinoki</em> </p>,"<div class=""rte text--pull""> <p>Das Offensiv-Holz <em><strong>MIYABI</strong> </em>besteht aus einer einzigen Schicht <em>Kiso Hinoki</em> </p> <p>Ein schnelles Holz mit sehr weichem Anschlag und hoher Kontrolle.</p> <p>Es eignet sich hervorragend, um Topspins und Gegentopspins mit höchster Präzision zu spielen.</p> <p> </p> <p><span style=""color: #666666;""><strong>Made in Japan<br/></strong></span><span style=""color: #666666;""><strong>Speed: medium fast<br/></strong></span><span style=""color: #666666;""><strong>Feel: soft<br/></strong></span><span style=""color: #666666;""><strong>Furnierschichten: 1 ply Kiso Hinoki<br/></strong></span><span style=""color: #666666;""><strong>Holzdicke: 9 mm<br/></strong></span><span style=""color: #666666;""><strong>Gewicht: ca. 85 g<br/></strong></span><span style=""color: #666666;""><strong>Maße: 155 X 149 mm</strong></span></p> <p> </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Miyabi OFF\MainImage\miyabi_fl_2_1600x.jpg%3Fv=1382902444,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Miyabi OFF\GalleryImages\miyabi_fl_1600x.jpg%3Fv=1382902444,"{""key_value_pairs"": [[""Griffform // Handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/miyabi
Nittaku Acoustic Carbon,<p> </p>,"<div class=""rte text--pull""> <p> </p> <p><span style=""line-height: 16.79px;"">Das <strong>NITTAKU</strong> <em><strong>ACOUSTIC CARBON</strong></em> Tischtennis Holz ist bekannt für die Präzision und Geschwindigkeit. Der Furnieraufbau ist identisch zum Nittaku Acoustic, es wurden lediglich zwei Carbon Schichten unter dem Deckfurnier platziert. Dadurch erhält das Holz einen härteren Anschlag  und einem vergrößerten Sweetspot. </span></p> <p><span style=""line-height: 16.79px;"">Dank der beiden außenliegenden Carbon Schichten ist es ein gutes Stück schneller und härter, als das <a href=""http://nittaku.tt/collections/hoelzer-blades/products/acoustic-off"" title=""Nittaku Acoustic Holz""><em><strong>ACOUSTIC</strong></em></a>. Dennoch besitzt es das für die <a href=""http://nittaku.tt/collections/hoelzer-blades/acoustic-serie"" title=""Nittaku Acoustic Serie""><em>ACOUSTIC-SERIE</em></a> typische exakte Anschlaggefühl und hat hohe Kontrollwerte.</span></p> <p><span style=""color: #666666;""><strong>MADE IN JAPAN</strong></span></p> <p><span style=""color: #666666;""><strong>Furnierschichten: 5 + 2 Schichten Carboneinlage</strong></span><br/><span style=""color: #666666;""><strong>Holzdicke: 5,5 mm</strong></span><br/><span style=""color: #666666;""><strong>Gewicht: ca. 90g</strong></span><br/><span style=""color: #666666;""><strong>Maße: 157 X 150 mm</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon\MainImage\acoustic_carbon_fl_nittaku_1600x.jpg%3Fv=1663767037,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon\GalleryImages\acoustic_carbon_st2_nittaku_1600x.jpg%3Fv=1663767037;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon\GalleryImages\acoustic_carbon_fl2_nittaku_1600x.jpg%3Fv=1663767037;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon\GalleryImages\acoustic_carbon_st_nittaku_1600x.jpg%3Fv=1663767037,"{""key_value_pairs"": [[""Griff"", ""gerade // straight""], [""Griff"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/neu-acoustic-carbon
Nittaku Acoustic Carbon G-Revision,<p><em>NITTAKU ACOUSTIC CARBON G-REVISION. Diese Version ist eine Erweiterung der beliebten Tischtennis Hölzer der Nittaku Acoustic Serie.</em></p>,"<div class=""rte text--pull""> <p><em>NITTAKU ACOUSTIC CARBON G-REVISION. Diese Version ist eine Erweiterung der beliebten Tischtennis Hölzer der Nittaku Acoustic Serie.</em></p> <p><em>G-Revision steht für die neue Griffform die Nittaku den Hölzern der Acoustic Serie spendiert hat.  Die neuen Griffe sind etwas ovaler und kräftiger als die Griffe der ""normalen"" Acoustic Serie. Die Blattflügel haben einen etwas schmaleren Winkel, dadurch kann man tiefer in das Holz reingreifen.</em></p> <p><span style=""line-height: 16.79px;"">Das <strong>NITTAKU</strong> <em><strong>ACOUSTIC CARBON</strong></em> Tischtennis Holz ist bekannt für die Präzision und Geschwindigkeit. Der Furnieraufbau ist identisch zum Nittaku Acoustic, es wurden lediglich zwei Carbon Schichten unter dem Deckfurnier platziert. Dadurch erhält das Holz einen härteren Anschlag  und einem vergrößerten Sweetspot. </span></p> <p><span style=""line-height: 16.79px;"">Dank der beiden außenliegenden Carbon Schichten ist es ein gutes Stück schneller und härter, als das <a href=""http://nittaku.tt/collections/hoelzer-blades/products/acoustic-off"" title=""Nittaku Acoustic Holz""><em><strong>ACOUSTIC</strong></em></a>. Dennoch besitzt es das für die <a href=""http://nittaku.tt/collections/hoelzer-blades/acoustic-serie"" title=""Nittaku Acoustic Serie""><em>ACOUSTIC-SERIE</em></a> typische exakte Anschlaggefühl und hat hohe Kontrollwerte.</span></p> <p><span style=""color: #666666;""><strong>MADE IN JAPAN</strong></span></p> <p><span style=""color: #666666;""><strong>Furnierschichten: 5 + 2 Schichten Carboneinlage</strong></span><br/><span style=""color: #666666;""><strong>Holzdicke: 5,5 mm</strong></span><br/><span style=""color: #666666;""><strong>Gewicht: ca. 90g</strong></span><br/><span style=""color: #666666;""><strong>Maße: 157 X 150 mm</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon G-Revision\MainImage\NittakuAcousticG-RevisionTischtennisHolzKonkav_1600x.png%3Fv=1720016545,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon G-Revision\GalleryImages\G-RevionGriff_1600x.png%3Fv=1720014374;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon G-Revision\GalleryImages\G_Revision_Griffmass_0241bee2-b605-47b9-b576-7bfd4c9c6f43_1600x.png%3Fv=1720424673;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon G-Revision\GalleryImages\NittakuAcousticG-RevisionTischtennisHolzGerade_1600x.png%3Fv=1720016545,"{""key_value_pairs"": [[""Griff"", ""gerade // straight""], [""Griff"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/nittaku-acoustic-carbon-g-revision
Nittaku Acoustic Carbon Inner G-Revision,<p><em>NITTAKU ACOUSTIC CARBON INNER G-REVISION. Diese Version ist eine Erweiterung der beliebten Tischtennis Hölzer der Nittaku Acoustic Serie.</em></p>,"<div class=""rte text--pull""> <p><em>NITTAKU ACOUSTIC CARBON INNER G-REVISION. Diese Version ist eine Erweiterung der beliebten Tischtennis Hölzer der Nittaku Acoustic Serie.</em></p> <p><em>G-Revision steht für die neue Griffform die Nittaku den Hölzern der Acoustic Serie spendiert hat.  Die neuen Griffe sind etwas ovaler und kräftiger als die Griffe der ""normalen"" Acoustic Serie. Die Blattflügel haben einen etwas schmaleren Winkel, dadurch kann man tiefer in das Holz reingreifen.</em></p> <p>Das Nittaku Acoustic Carbon Inner bleibt in seinen Spieleigenschaften ansonsten unverändert gut. Die Furnierzusammensetzung ist identisch mit dem <a href=""http://www.nittaku.tt/collections/hoelzer-blades/products/neu-acoustic-carbon"" target=""_blank"" title=""Nittaku Acoustic Carbon zum Vergeich"">Acoustic Carbon</a>, nur dass die Carbon Schicht hier innen liegt. Dadurch wird das Holz etwas weicher im Anschlag und gefühlvoller. Der Schläger gewinnt an Spin, was dem Kunststoffball sehr zu Gute kommt.</p> <p>Aufgrund des weicheren Ballanschlags erhöhen sich die Kontrollwerte enorm, dadurch vermittelt das Holz ein sicheres Spielgefühl.</p> <p> </p> <p>Made in Japan</p> <p><span style=""color: #666666;""><strong>Furnierschichten: 5 + 2 Schichten Carboneinlage</strong></span><br/><span style=""color: #666666;""><strong>Holzdicke: 5,5 mm</strong></span><br/><span style=""color: #666666;""><strong>Gewicht: ca. 90g</strong></span><br/><span style=""color: #666666;""><strong>Maße: 157 X 150 mm</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon Inner G-Revision\MainImage\Nittaku_Acoustic_Carbon_Inner_G-Revision_Tischtennis_Holz_Konkav_1600x.png%3Fv=1720014361,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon Inner G-Revision\GalleryImages\G-RevionGriff_1600x.png%3Fv=1720014374;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon Inner G-Revision\GalleryImages\G_Revision_Griffmass_0241bee2-b605-47b9-b576-7bfd4c9c6f43_1600x.png%3Fv=1720424673;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic Carbon Inner G-Revision\GalleryImages\Nittaku_Acoustic_Carbon_Inner_G-Revision_Tischtennis_Holz_Gerade_1600x.png%3Fv=1720014361,"{""key_value_pairs"": [[""Griff"", ""gerade // straight""], [""Griff"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/nittaku-acoustic-carbon-inner-g-revision
Nittaku Acoustic G-Revision,<p><em>NITTAKU ACOUSTIC G-REVISION. Diese Version ist eine Erweiterung der beliebten Tischtennis Hölzer der Nittaku Acoustic Serie.</em></p>,"<div class=""rte text--pull""> <p><em>NITTAKU ACOUSTIC G-REVISION. Diese Version ist eine Erweiterung der beliebten Tischtennis Hölzer der Nittaku Acoustic Serie.</em></p> <p><em>G-Revision steht für die neue Griffform die Nittaku den Hölzern der Acoustic Serie spendiert hat.  Die neuen Griffe sind etwas ovaler und kräftiger als die Griffe der ""normalen"" Acoustic Serie. Die Blattflügel haben einen etwas schmaleren Winkel, dadurch kann man tiefer in das Holz reingreifen.</em></p> <p>Das <strong>Nittaku</strong> <strong><em>ACOUSTIC</em></strong> ist neben dem <em>VIOLIN</em> und dem <em>VIOLONCELLO</em> das schnellste Voll-Holz aus der NITTAKU <em>ACOUSTIC</em>-Serie. Es zeichnet sich durch extreme Elastizität bei sehr hohem Tempo aus und ist sehr gut für sichere Offensiv-Spieler geeignet.</p> <p>Die Hölzer der <strong><em>ACOUSTIC</em></strong>-Serie werden ausschließlich aus hochwertigen Materialien gebaut, die auch zum Bau von Streichinstrumenten verwendet werden.</p> <p> </p> <p><span style=""color: #666666;""><strong>MADE IN JAPAN</strong></span></p> <p><span style=""color: #666666;""><strong>Furnierschichten: 5 </strong></span><br/><span style=""color: #666666;""><strong>Holzdicke: 5,7 mm</strong></span><br/><span style=""color: #666666;""><strong>Gewicht: ca. 88g</strong></span><br/><span style=""color: #666666;""><strong>Maße: 157 X 150 mm</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic G-Revision\MainImage\NittakuAcousticG-RevisionTischtennisHolzKonkav_4a6edd9a-d13f-4c35-97ce-ca12f5cb757f_1600x.png%3Fv=1720019169,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic G-Revision\GalleryImages\G-RevionGriff_1600x.png%3Fv=1720014374;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic G-Revision\GalleryImages\G_Revision_Griffmass_0241bee2-b605-47b9-b576-7bfd4c9c6f43_1600x.png%3Fv=1720424673;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Acoustic G-Revision\GalleryImages\NittakuAcousticG-RevisionTischtennisHolzGerade_74748cf4-a436-4bf0-ad8b-2c5b4d78184e_1600x.png%3Fv=1720019170,"{""key_value_pairs"": [[""Griffform // handle"", ""gerade // straight""], [""Griffform // handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/nittaku-acoustic-off-g-revision
Factive Carbon,"<p>Das <em><strong>Factive Carbon</strong></em> Holz, in Kombination mit den <em><strong><a href=""https://nittaku.tt/collections/tischtennis-belaege-material/products/factive"">Factive</a></strong></em> Belägen, die Antwort auf den Kunststoffball.</p>","<div class=""rte text--pull""> <p>Das <em><strong>Factive Carbon</strong></em> Holz, in Kombination mit den <em><strong><a href=""https://nittaku.tt/collections/tischtennis-belaege-material/products/factive"">Factive</a></strong></em> Belägen, die Antwort auf den Kunststoffball.</p> <p>Die Carbon-Schicht besteht aus ""Super Thin Carbon"" Dieses Carbon ermöglicht eine hohe Grundgeschwindigkeit des Holzes, gibt aber den Ballkontakt perfekt an den Spieler weiter. Dadurch ist das Holz leicht zu kontrollieren</p> <p>Das <em><strong>Factive Carbon</strong></em> ist optimal für die variantenreiche offensive Spielweise gebaut.</p> <p>Das <em><strong>Factive Carbon</strong></em> hat einen hölzernen Kantenschutz.</p> <p><em>Optimiertes Holz für Kunststoffbälle</em></p> <p><em>Speed: Mid Fast</em></p> <p><em>Feel: Mid Hard</em></p> <p><em>Furnierschichten: 5 ply + 2 Carbon</em></p> <p><em>Holzdicke: 6,6mm</em></p> <p><em>Gewicht: ca. 82g</em></p> <p><em>Maße: 157 x 150 mm</em></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Factive Carbon\MainImage\nittaku-factive-carbon-neues-tischtennis-holz-tt-shop-deutschland-gerade_1600x.jpg%3Fv=1663767237,,"{""key_value_pairs"": [[""Griffform // Handle"", ""gerade // straight""], [""Griffform // Handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/nittaku-factive-carbon
Nittaku Factive Seven,<h1>Das Factive Sieben ist ein siebenschichtiges Vollholz. Es eignet sich optimal um ein gefühlvolles und variantenreiches Tischtennis nah am Tisch und aus der Halbdistanz zu spielen</h1>,"<div class=""rte text--pull""> <h1>Das Factive Sieben ist ein siebenschichtiges Vollholz. Es eignet sich optimal um ein gefühlvolles und variantenreiches Tischtennis nah am Tisch und aus der Halbdistanz zu spielen</h1> <p>Dieses <strong>Tischtennis Holz</strong> harmonisiert sehr gut mit den <strong>Factive Belägen</strong> und ist ach für Allroundspieler geeignet.</p> <p>Das Holz hat einen hölzernen Kantenschutz.</p> <p><em>Speed: Mid Fast</em></p> <p><em>Feel: Mid Hard</em></p> <p><em>Furnierschichten: 7</em></p> <p><em>Holzdicke: 6,2 mm</em></p> <p><em>Gewicht ca.: 83 g</em></p> <p><em>Maße: 157 x 150 mm</em></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive Seven\MainImage\FactiveSeven_1600x.jpg%3Fv=1663767318,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive Seven\GalleryImages\FactiveSevenEdge_1600x.jpg%3Fv=1663767318,"{""key_value_pairs"": [[""Griffform // Handle"", ""gerade // straight""], [""Griffform // Handle"", ""konkav // flared""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/nittaku-factive-seven
Nittaku GYO-EN,<p>Das Tischtennis Holz Nittaku GYO-EN aus der Nittaku Irodorie Serie.</p>,"<div class=""rte text--pull""> <p>Das Tischtennis Holz Nittaku GYO-EN aus der Nittaku Irodorie Serie.</p> <p>In der Irodori Serie wird die neue Faser KVC3 verarbeitet. Diese Faser ist eine echte Weiterentwicklung im Tischtennis Sport, wenn man den Ball weich spielt, unterstütz die Faser das weiche Spiel. Spielt man den Ball allerdings mit Druck, gibt das KVC3 den Druck an den Ball weiter und man kann Bälle mit viel Geschwindigkeit spielen.</p> <p>Das GYO-EN hat die KVC3 Faser außen, also direkt unter dem Koto Deckfurnier. Das Holz hat dadurch einen harten Anschlag und eine gute offensive Geschwindigkeit. Die Ballflugkurve ist niedrig und die Geschwindigkeit ist sehr linear.</p> <p><a href=""https://nittaku.tt/collections/offensive-holzer/products/kopie-von-nittaku-gyo-en"" title=""Tischtennis Holz GYO-EN"">Die inner Version SO-TEN finden Sie hier</a></p> <p><strong><em>Made in Japan</em></strong></p> <p><strong><em>Blattdicke: 5,6 mm</em></strong></p> <p><strong><em>Gewicht: ca. 82g</em></strong></p> <p><strong><em>Blattgröße: 157X150 mm</em></strong></p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku GYO-EN\MainImage\TischtennisSchlaegerNittakuGyo-EnkonkaverGriff_1600x.png%3Fv=1690790578,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku GYO-EN\GalleryImages\TischtennisSchlaegerNittakuGyo-EnSchnitt_1600x.png%3Fv=1690790578;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku GYO-EN\GalleryImages\TischtennisSchlaegerNittakuGyo-EnOffensivesHolz_1600x.png%3Fv=1690790578;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku GYO-EN\GalleryImages\TischtennisSchlaegerNittakuGyo-EngeraderGriff_1600x.png%3Fv=1690790578;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku GYO-EN\GalleryImages\TischtennisSchlaegerNittakuGyo-EnLinsen_1600x.png%3Fv=1690790578,"{""key_value_pairs"": [[""Grifform//Handle"", ""konkav//flared""], [""Grifform//Handle"", ""gerade//straight""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/nittaku-gyo-en
Nittaku Hina Hayata H2,<h1>Das offensive Tischtennis Holz Nittaku Hina Hayata H2 wurde zusammen mit Hina Hayata und Nittaku entwickelt. </h1>,"<div class=""rte text--pull""> <h1>Das offensive Tischtennis Holz Nittaku Hina Hayata H2 wurde zusammen mit Hina Hayata und Nittaku entwickelt. </h1> <h2>Es wurde eine neue Kunstfaser mit dem Namen PKC verwendet. Dieses Kevlar Carbon Gemisch liegt auf dem Kernfurnier. Das leicht vergrößerte Schlägerblatt sorgt zusätzlich für mehr Gefühl und Kontrolle. Durch das Limba Deckfurnier hat das Nittaku Hina Hayata H2 einen direkten Ballanschlag und der Balltreffpunkt wird exakt an den Spieler weitergegeben.</h2> <h3>Das Hina Hayata H2 ist für Tischtennis Spieler entwickelt die nah am Tisch aggressiv blocken und kontern. Das Holz ist aber flexibel genug auch aus der Halbdistanz mit Topspin und Blockvariationen zu agieren.</h3> <p><strong>Made in Japan</strong></p> <p><span><strong>Speed: Offensive <br/></strong></span><span><strong>Feel: medium hart<br/></strong></span><span><strong>Furnierschichten: 5 ply + 2 PKC Faser<br/></strong></span><span><strong>Holzdicke: 5,8 mm<br/></strong></span><span><strong>Gewicht: ca. 88 g<br/></strong></span><span><strong>Maße: 158 X 152 mm</strong></span></p> <p> </p> <p> </p> <p> </p> <p> </p> <p><br/></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Hina Hayata H2\MainImage\HinaHayataH2.konkav_1600x.png%3Fv=1675251090,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Hina Hayata H2\GalleryImages\HinaHayataLinseRueckhand_1600x.png%3Fv=1675251089;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Hina Hayata H2\GalleryImages\HInaHayatagerade_1600x.png%3Fv=1675251089;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Hina Hayata H2\GalleryImages\HInaHayataH2Schnitt_1600x.png%3Fv=1675251088;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Hina Hayata H2\GalleryImages\HInaHayataH2Bild_1600x.png%3Fv=1675251090,"{""key_value_pairs"": [[""Griffform Handle"", ""Konkav // Flared""], [""Griffform Handle"", ""Gerade // Straight""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/offensive-holzer/products/nittaku-hina-hayata-h2
